*EXP. DATA (A): Hydroponic Lettuce Time-course (T) data
@TRNO     DATE     CWID    CHTD   RDPD   LNUM      LAPD      CWAD   EPAC
 1     2022131   0.2575  0.1400  .7825   53.0   2354.45   1091.79   17.2
 2     2022271   0.2445  0.1220  .8063   69.5   1843.75   1121.27   22.2
 3     2022223   0.3133  0.1267  .6100  108.0   3063.12   1420.16   26.2
 4     2022089   0.3050  0.1450  .6750   72.5   2924.40   1427.54   33.2
 5     2022131   0.3025  0.1300   1.06    40.5   2247.60    870.8   17.2
 6     2022271   0.2893  0.1395  .3887   38.5   2651.45   1093.59   22.2
 7     2022223   0.3425  0.1600  .5225   44.5   3511.50   1165.55   26.2
 8     2022089   0.3550  0.1650  .4800   58.5   3174.85   1377.73   33.2
 9     2022131   0.3500  0.1550  .7750   44.5   3107.47   1422.50   17.2
10     2022271   0.3425  0.1893  .6260   49.0   4175.65   1594.82   22.2
11     2022223   0.3800  0.1800  .6100   53.0   3953.33   1677.54   26.2
12     2022089   0.3700  0.2150  .5000   43.0   3125.05   1396.17   33.2

